uid,points,goal_closeness,activities,unique_activities,average_activities_per_day,supports,reactions,chats,view_challenge,view_activities,view_newsfeed,view_team,view_profile,view_friend
129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.167,0.167,0.000,0.000,0.000
132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.182,0.455,0.182,0.000,0.000
138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.400,0.000
139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.207,0.172,0.448,0.069,0.103,0.000
140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.462,0.385,0.000,0.077,0.000
141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000
142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.286,0.429,0.071,0.000,0.000
143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.286,0.429,0.000,0.143
144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.108,0.162,0.378,0.162,0.054,0.135
146,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.429,0.000,0.286,0.286,0.000,0.000
